points|title|description|taster_name|taster_twitter_handle|price|designation|variety|region_1|region_2|province|country|winery
87|Kirkland Signature 2011 Mountain Cuvée Cabernet Sauvignon (Napa Valley)|Soft, supple plum envelopes an oaky structure in this Cabernet, supported by 15% Merlot. Coffee and chocolate complete the picture, finishing strong at the end, resulting in a value-priced wine of attractive flavor and immediate accessibility.|Virginie Boone|@vboone|19|Mountain Cuvée|Cabernet Sauvignon|Napa Valley|Napa|California|US|Kirkland Signature
87|Leon Beyer 2012 Gewurztraminer (Alsace)|This is a dry wine, very spicy, with a tight, taut texture and strongly mineral character layered with citrus as well as pepper. It's a food wine with its almost crisp aftertaste.|Roger Voss|@vossroger|30||Gewürztraminer|Alsace||Alsace|France|Leon Beyer
87|Louis M. Martini 2012 Cabernet Sauvignon (Alexander Valley)|Slightly reduced, this wine offers a chalky, tannic backbone to an otherwise juicy explosion of rich black cherry, the whole accented throughout by firm oak and cigar box.|Virginie Boone|@vboone|34||Cabernet Sauvignon|Alexander Valley|Sonoma|California|US|Louis M. Martini
87|Masseria Setteporte 2012 Rosso  (Etna)|This is dominated by oak and oak-driven aromas that include roasted coffee bean, espresso, coconut and vanilla that carry over to the palate, together with plum and chocolate. Astringent, drying tannins give it a rather abrupt finish.|Kerin O’Keefe|@kerinokeefe||Rosso|Nerello Mascalese|Etna||Sicily & Sardinia|Italy|Masseria Setteporte
87|Mirassou 2012 Chardonnay (Central Coast)|Building on 150 years and six generations of winemaking tradition, the winery trends toward a leaner style, with the classic California buttercream aroma cut by tart green apple. In this good everyday sipping wine, flavors that range from pear to barely ripe pineapple prove approachable but not distinctive.|Matt Kettmann|@mattkettmann|12||Chardonnay|Central Coast|Central Coast|California|US|Mirassou
87|Richard Böcking 2013 Devon Riesling (Mosel)|Zesty orange peels and apple notes abound in this sprightly, mineral-toned Riesling. Off dry on the palate, yet racy and lean, it's a refreshing, easy quaffer with wide appeal.|Anna Lee C. Iijima||24|Devon|Riesling|||Mosel|Germany|Richard Böcking
87|Felix Lavaque 2010 Felix Malbec (Cafayate)|Baked plum, molasses, balsamic vinegar and cheesy oak aromas feed into a palate that's braced by a bolt of acidity. A compact set of saucy red-berry and plum flavors features tobacco and peppery accents, while the finish is mildly green in flavor, with respectable weight and balance.|Michael Schachner|@wineschach|30|Felix|Malbec|Cafayate||Other|Argentina|Felix Lavaque
87|Gaucho Andino 2011 Winemaker Selection Malbec (Mendoza)|Raw black-cherry aromas are direct and simple but good. This has a juicy feel that thickens over time, with oak character and extract becoming more apparent. A flavor profile driven by dark-berry fruits and smoldering oak finishes meaty but hot.|Michael Schachner|@wineschach|13|Winemaker Selection|Malbec|Mendoza||Mendoza Province|Argentina|Gaucho Andino
87|Pradorey 2010 Vendimia Seleccionada Finca Valdelayegua Single Vineyard Crianza  (Ribera del Duero)|Desiccated blackberry, leather, charred wood and mint aromas carry the nose on this full-bodied, tannic, heavily oaked Tinto Fino. Flavors of clove and woodspice sit on top of blackberry fruit, then hickory and other forceful oak-based aromas rise up and dominate the finish.|Michael Schachner|@wineschach|28|Vendimia Seleccionada Finca Valdelayegua Single Vineyard Crianza|Tempranillo Blend|Ribera del Duero||Northern Spain|Spain|Pradorey
87|Quiévremont 2012 Meritage (Virginia)|Red fruit aromas pervade on the nose, with cigar box and menthol notes riding in the back. The palate is slightly restrained on entry, but opens up to riper notes of cherry and plum specked with crushed pepper. This blend of Merlot, Cabernet Sauvignon and Cabernet Franc is approachable now and ready to be enjoyed.|Alexander Peartree||32||Meritage|Virginia||Virginia|US|Quiévremont
87|Quiévremont 2012 Vin de Maison Red (Virginia)|Ripe aromas of dark berries mingle with ample notes of black pepper, toasted vanilla and dusty tobacco. The palate is oak-driven in nature, but notes of tart red currant shine through, offering a bit of levity.|Alexander Peartree||23|Vin de Maison|Red Blend|Virginia||Virginia|US|Quiévremont
87|Acrobat 2013 Pinot Noir (Oregon)|A sleek mix of tart berry, stem and herb, along with a hint of oak and chocolate, this is a fair value in a widely available, drink-now Oregon Pinot. The wine oak-aged for six months, whether in neutral or re-staved is not indicated.|Paul Gregutt|@paulgwine |20||Pinot Noir|Oregon|Oregon Other|Oregon|US|Acrobat
87|Baglio di Pianetto 2007 Ficiligno White (Sicilia)|Delicate aromas recall white flower and citrus. The palate offers passion fruit, lime and white peach with a hint of mineral alongside bright acidity.|Kerin O’Keefe|@kerinokeefe|19|Ficiligno|White Blend|Sicilia||Sicily & Sardinia|Italy|Baglio di Pianetto
87|Bianchi 2011 Signature Selection Merlot (Paso Robles)|This wine from the Geneseo district offers aromas of sour plums and just enough cigar box to tempt the nose. The flavors are a bit flat at first, then the acidity and tension of sour cherries emerges in the midpalate, bolstered by some black licorice.|Matt Kettmann|@mattkettmann|22|Signature Selection|Merlot|Paso Robles|Central Coast|California|US|Bianchi
87|Canicattì 2009 Aynat Nero d'Avola (Sicilia)|Aromas of prune, blackcurrant, toast and oak carry through to the extracted palate, along with flavors of black cherry and roasted coffee beans. Firm but drying tannins provide the framework.|Kerin O’Keefe|@kerinokeefe|35|Aynat|Nero d'Avola|Sicilia||Sicily & Sardinia|Italy|Canicattì
87|Castello di Amorosa 2011 King Ridge Vineyard Pinot Noir (Sonoma Coast)|Oak and earth intermingle around robust aromas of wet forest floor in this vineyard-designated Pinot that hails from a high-elevation site. Small in production, it offers intense, full-bodied raspberry and blackberry steeped in smoky spice and smooth texture.|Virginie Boone|@vboone|69|King Ridge Vineyard|Pinot Noir|Sonoma Coast|Sonoma|California|US|Castello di Amorosa
87|Stemmari 2013 Dalila White (Terre Siciliane)|Pretty aromas of yellow flower and stone fruit lead the nose. The bright palate offers yellow apple, apricot, vanilla and delicate notes of lightly toasted oak alongside crisp acidity.|Kerin O’Keefe|@kerinokeefe|13|Dalila|White Blend|Terre Siciliane||Sicily & Sardinia|Italy|Stemmari
87|Stemmari 2013 Nero d'Avola (Terre Siciliane)|Aromas recall ripe dark berry, toast and a whiff of cake spice. The soft, informal palate offers sour cherry, vanilla and a hint of espresso alongside round tannins. Drink soon.|Kerin O’Keefe|@kerinokeefe|10||Nero d'Avola|Terre Siciliane||Sicily & Sardinia|Italy|Stemmari
87|Terre di Giurfo 2011 Mascaria Barricato  (Cerasuolo di Vittoria)|Aromas suggest mature berry, scorched earth, animal, toast and anise. The palate offers ripe black berry, oak, espresso, cocoa and vanilla alongside dusty tannins.|Kerin O’Keefe|@kerinokeefe|17|Mascaria Barricato|Red Blend|Cerasuolo di Vittoria||Sicily & Sardinia|Italy|Terre di Giurfo
86|Clarksburg Wine Company 2010 Chenin Blanc (Clarksburg)|Clarksburg is becoming a haven for Chenin Blanc in California. This bottling, using fruit sourced from several vineyards in the area, is balanced with just a trace of sweetness in the background (1% residual sugar). This is crisp, straightforward and blessed with notes of pear and lime. Drink it cold.|Virginie Boone|@vboone|16||Chenin Blanc|Clarksburg|Central Valley|California|US|Clarksburg Wine Company
86|Domaine de la Madone 2012 Nouveau  (Beaujolais-Villages)|Red cherry fruit comes laced with light tannins, giving this bright wine an open, juicy character.|Roger Voss|@vossroger||Nouveau|Gamay|Beaujolais-Villages||Beaujolais|France|Domaine de la Madone
86|Duca di Salaparuta 2010 Calanìca Nero d'Avola-Merlot Red (Sicilia)|Merlot and Nero d'Avola form the base for this easy red wine that would pair with fettuccine and meat sauce or pork roast. The quality of the fruit is clean, bright and sharp.||||Calanìca Nero d'Avola-Merlot|Red Blend|Sicilia||Sicily & Sardinia|Italy|Duca di Salaparuta
86|Duca di Salaparuta 2011 Calanìca Grillo-Viognier White (Sicilia)|Part of the extended Calanìca series, this Grillo-Viognier blend shows aromas of honeysuckle and jasmine, backed by touches of cut grass and wild sage. In the mouth, it shows ripe yellow-fruit flavors.||||Calanìca Grillo-Viognier|White Blend|Sicilia||Sicily & Sardinia|Italy|Duca di Salaparuta
86|Envolve 2010 Puma Springs Vineyard Red (Dry Creek Valley)|Rustic and dry, this has flavors of berries, currants, licorice and spices. Made from Cabernet Franc and Cabernet Sauvignon.|||50|Puma Springs Vineyard|Red Blend|Dry Creek Valley|Sonoma|California|US|Envolve
86|Envolve 2011 Sauvignon Blanc (Sonoma Valley)|This shows a tart, green gooseberry flavor that is similar to New Zealand Sauvignon Blanc. Other notes include tropical fruit, orange and honey. Unoaked, with a splash of Muscat, this has commendable dryness and acidity.|||20||Sauvignon Blanc|Sonoma Valley|Sonoma|California|US|Envolve
86|Erath 2010 Hyland Pinot Noir (McMinnville)|As with many of the Erath 2010 vineyard designates, this is strongly herbal. The notes of leaf and herb create somewhat unripe flavor impressions, with a touch of bitterness on the finish. The fruit just passes the ripeness of sweet tomatoes.|Paul Gregutt|@paulgwine |50|Hyland|Pinot Noir|McMinnville|Willamette Valley|Oregon|US|Erath
86|Estampa 2011 Estate Viognier-Chardonnay (Colchagua Valley)|White flower, lychee and apple aromas carry the mellow bouquet. The chunky-feeling palate bears powdery, sweet flavors of peach and melon, mixed with greener notes of grass and lime. The 80% Viognier component is typical of the warm climate: plump and oily, with a short finish. Chardonnay fills out the blend.|Michael Schachner|@wineschach|15|Estate|Viognier-Chardonnay|||Colchagua Valley|Chile|Estampa
86|Feudi del Pisciotto 2010 Missoni Cabernet Sauvignon (Sicilia)|This concentrated Cabernet offers aromas of cured meat, dried fruit and rosemary. Barbecue spice and teriyaki sauce flavors give the wine a bold, chewy feel.|||21|Missoni|Cabernet Sauvignon|Sicilia||Sicily & Sardinia|Italy|Feudi del Pisciotto
86|Feudi di San Marzano 2011 I Tratturi Primitivo (Puglia)|Inky in color, this wine has plump aromas of ripe fruit, blackberry jam and rum cake. On the palate, it is soft and smooth.|||11|I Tratturi|Primitivo|Puglia||Southern Italy|Italy|Feudi di San Marzano
86|Feudo di Santa Tresa 2011 Purato Made With Organic Grapes Nero d'Avola (Sicilia)|Part of the natural wine movement, this wine is made from organic grapes, and the label is printed with vegetable ink on recycled paper. The quality of fruit is very nice, with a juicy palate and a bright berry flavor on the finish.|||12|Purato Made With Organic Grapes|Nero d'Avola|Sicilia||Sicily & Sardinia|Italy|Feudo di Santa Tresa
86|Feudo Montoni 2011 Catarratto (Sicilia)|Catarratto is one of Sicily's most widely farmed white grape varieties. This expression shows a mineral note, backed by citrus and almond blossom touches.|||17||Catarratto|Sicilia||Sicily & Sardinia|Italy|Feudo Montoni
86|Hawkins Cellars 2009 Pinot Noir (Willamette Valley)|A stiff, tannic wine, this slowly opens and brings brambly berry flavors into play, along with notes of earthy herbs. There's a touch of bitterness to the tannins.|Paul Gregutt|@paulgwine |22||Pinot Noir|Willamette Valley|Willamette Valley|Oregon|US|Hawkins Cellars
86|Henry Fessy 2012 Nouveau  (Beaujolais)|This is a festive wine, with soft, ripe fruit and acidity, plus a red berry flavor.|Roger Voss|@vossroger|9|Nouveau|Gamay|Beaujolais||Beaujolais|France|Henry Fessy
86|Robert Hall 2011 Sauvignon Blanc (Paso Robles)|The clean, brisk mouthfeel gives this slightly oaked Sauvignon Blanc instant likeability. It's dry with a rich streak of honey that sweetens the citrus, pear and tropical fruit flavors. Pair this with Asian fare, ham or a green salad with grapefruit sections.|||14||Sauvignon Blanc|Paso Robles|Central Coast|California|US|Robert Hall
86|Sundance 2011 Merlot (Maule Valley)|A berry aroma comes with cola and herb notes. The palate is tangy and racy, and it delivers raspberry and plum flavors, with a modest finish.|Michael Schachner|@wineschach|9||Merlot|||Maule Valley|Chile|Sundance
86|Tarara 2010 #SocialSecret Red (Virginia)|Right out of the starting blocks this is an oaky wine, dripping with caramel and vanilla notes. The texture on the midpalate is finessed and graceful, with drying tannins that latch onto the oak-driven finish. An eccentric blend of 50% Tannat, 35% Petit Verdot and 15% Pinotage.|||40|#SocialSecret|Red Blend|Virginia||Virginia|US|Tarara
86|Tasca d'Almerita 2011 Sallier de la Tour Inzolia (Sicilia)|Spicy, fresh and clean, this would pair with fried seafood or spaghetti con vongole. It offers pretty citrus tones followed by a drying mineral nuance.|||13|Sallier de la Tour|Inzolia|Sicilia||Sicily & Sardinia|Italy|Tasca d'Almerita
86|The White Knight 2011 Riesling (Lake County)|This is a sweet wine with flavors of white sugar, orange, honey and vanilla, all brightened by crisp acidity.|||13||Riesling|Lake County||California|US|The White Knight
86|Trump 2011 Sauvignon Blanc (Monticello)|This bottling resembles the New Zealand paradigm of Sauvignon Blanc, bearing aromas of grapefruit, passion fruit and kiwi; a sprinkling of graham cracker adds interest. The wine hits the palate like a fleshy fist, with an intense, grassy gooseberry flavor that provides plenty of punch. Pair with apricot-glazed roasted chicken.|||16||Sauvignon Blanc|Monticello||Virginia|US|Trump
86|Vignerons de Bel Air 2011 Eté Indien  (Brouilly)|Soft and fruity, this is a generous, ripe wine that's full of juicy red-cherry fruits and gentle tannins. It has some richness, giving a sweet character to this open, ready-to-drink wine.|Roger Voss|@vossroger|14|Eté Indien|Gamay|Brouilly||Beaujolais|France|Vignerons de Bel Air
86|Viticultori Associati Canicatti 2008 Scialo Red (Sicilia)|This blend of Nero d'Avola and Syrah opens with savory aromas of cured meat, dried berry, cassis, tobacco and wet earth. There's a touch of almond bitterness on the finish.||||Scialo|Red Blend|Sicilia||Sicily & Sardinia|Italy|Viticultori Associati Canicatti
85|Casa Silva 2008 Gran Reserva Petit Verdot (Colchagua Valley)|This is much different than Casa Silva's 2009 Petit Verdot, which was tasted in the same flight. The '08 is more hard, spicy and tarry, with a leafy, herbal aroma, plus some grittiness. The palate feels snappy, with a can't-miss saltiness. The finish is long in length but short on fruit, with a raw feel.|Michael Schachner|@wineschach|22|Gran Reserva|Petit Verdot|||Colchagua Valley|Chile|Casa Silva
85|Cantine di Dolianova 2010 Dolia  (Monica di Sardegna)|The Monica grape often shows a rustic or raw quality, with aromas of cherry cola, black pepper and sour fruit. This expression does just that, with an added touch of bright acidity on the finish.|||14|Dolia|Monica|Monica di Sardegna||Sicily & Sardinia|Italy|Cantine di Dolianova
85|Château de Sours 2011 La Fleur d'Amélie  (Bordeaux Blanc)|Fruity and lightly herbaceous, this has fine textured acidity along with a pink grapefruit flavor. The wine is bright and easy, and it will be ready to drink in a few months.|Roger Voss|@vossroger|15|La Fleur d'Amélie|Bordeaux-style White Blend|Bordeaux Blanc||Bordeaux|France|Château de Sours
85|Corvo 2010 Rosso Red (Sicilia)|A blend of Nero d'Avola and Nerello Mascalese, this delivers forest berry and cola, with blue flower and dusty mineral accents. The palate is easy, bright and lean.||||Rosso|Red Blend|Sicilia||Sicily & Sardinia|Italy|Corvo
85|RustRidge 2010 Estate Bottled Chardonnay (Napa Valley)|This shows jelly-like flavors of orange and pear, with some earthy tones. The mouthfeel is soft and there's a bounty of oak in the form of buttered toast and caramel notes.|||30|Estate Bottled|Chardonnay|Napa Valley|Napa|California|US|RustRidge
85|Souverain 2010 Chardonnay (North Coast)|This is weighty, creamy and medium to full in body. It has plenty of lime and pear flavors, plus slight brown sugar and vanilla notes.|Virginie Boone|@vboone|14||Chardonnay|North Coast|North Coast|California|US|Souverain
85|Tasca d'Almerita 2011 Sallier de la Tour Grillo (Sicilia)|There's a touch of toasted almond at the start, but then this Grillo revs up in the glass to deliver notes of citrus, stone fruit, crushed stone and lemon tart. The mouthfeel is crisp and simple.|||13|Sallier de la Tour|Grillo|Sicilia||Sicily & Sardinia|Italy|Tasca d'Almerita
85|Tres Palacios 2011 Reserve Pinot Noir (Maipo Valley)|Lightly herbal strawberry and raspberry aromas are authentic and fresh. On the palate, this is light and juicy, with snappy, lean flavors of red fruit and dry spice. The finish is dry and oaky.|Michael Schachner|@wineschach|13|Reserve|Pinot Noir|||Maipo Valley|Chile|Tres Palacios
86|Mellisoni 2014 Malbec (Columbia Valley (WA))|Aromas of cranberry, barrel spice and herb are followed by tart cranberry flavors with grainy tannins. It falls a bit flat and the variety seems hard to discern.|Sean P. Sullivan|@wawinereport|55||Malbec|Columbia Valley (WA)|Columbia Valley|Washington|US|Mellisoni
86|Okapi 2013 Estate Cabernet Sauvignon (Napa Valley)|Syrupy and dense, this wine is jammy in plum and vanilla, with indeterminate structure and plenty of oak. Ripe and full-bodied, it has accents of graphite and leather.|Virginie Boone|@vboone|100|Estate|Cabernet Sauvignon|Napa Valley|Napa|California|US|Okapi
86|Podere dal Nespoli 2015 Prugneto Sangiovese (Romagna)|This densely hued wine has aromas of black plum and vanilla that carry over to the simple palate along with a touch of cedar. Pliant tannins give it an easygoing nature. Drink soon.|Kerin O’Keefe|@kerinokeefe|17|Prugneto|Sangiovese|Romagna||Central Italy|Italy|Podere dal Nespoli
86|Ram 2014 Alder Ridge Vineyard Cabernet Franc (Columbia Valley (WA))|The aromas are brooding, with notes of barrel spice and cherry. The flavors are tart and elegant in style, with lightly gritty tannins backing them up. Best suited to the dinner table.|Sean P. Sullivan|@wawinereport|25|Alder Ridge Vineyard|Cabernet Franc|Columbia Valley (WA)|Columbia Valley|Washington|US|Ram
86|Roland Champion NV Brut Rosé  (Champagne)|This fat, yeasty Champagne is comprised predominantly of Pinot Noir. It has ripe red berry fruit, light acidity and a soft, creamy aftertaste. It's ready to drink.|Roger Voss|@vossroger|58|Brut Rosé|Champagne Blend|Champagne||Champagne|France|Roland Champion
86|Sevtap 2015 Golden Horn Sauvignon Blanc (Santa Ynez Valley)|There are intriguing touches to the nose of this bottling, with jasmine, sea salt, wet hay, quinine and rainy sidewalk. The structure on the sip is quite delicate, with golden apple and honey flavors.|Matt Kettmann|@mattkettmann|26|Golden Horn|Sauvignon Blanc|Santa Ynez Valley|Central Coast|California|US|Sevtap
86|Simonnet-Febvre 2015  Chablis|From the warm 2015 vintage, this is a soft and fruity wine. It's open with broad white fruit flavors, the acidity lighter than usual for Chablis, giving it a particularly ripe character. Drink now.|Roger Voss|@vossroger|24||Chardonnay|Chablis||Burgundy|France|Simonnet-Febvre
86|Vignerons des Terres Secrètes 2015  Mâcon-Milly Lamartine|This soft, rounded wine is ripe with generous pear and melon flavors. It's easy and ready to drink young for its smooth, attractively ripe character.|Roger Voss|@vossroger|15||Chardonnay|Mâcon-Milly Lamartine||Burgundy|France|Vignerons des Terres Secrètes
86|Basel Cellars 2013 Inspired Red (Columbia Valley (WA))|A blend of Merlot and Cabernet Franc, this wine brings disjointed lightly volatile aromas of wood spice, vanilla and cherry. The plump cherry flavors are rounded out by woody barrel notes.|Sean P. Sullivan|@wawinereport|46|Inspired|Bordeaux-style Red Blend|Columbia Valley (WA)|Columbia Valley|Washington|US|Basel Cellars
86|Cocobon 2014 Red (California)|Very deep in color and spicy-smoky in flavor, this full-bodied wine is packed with dark-fruit flavors like blackberry and blueberry. Aromas like grilled beef and spicy flavors like cardamom and smoke give it a bold character that's hard to deny.|Jim Gordon|@gordone_cellars|12||Red Blend|California|California Other|California|US|Cocobon
86|Collet NV Brut Rosé  (Champagne)|This cooperative, based in Aÿ, has benefited from the fine Pinot Noir in the village to produce a ripe red fruited wine. With balanced acidity and a soft aftertaste, it is ready to drink.|Roger Voss|@vossroger|55|Brut Rosé|Champagne Blend|Champagne||Champagne|France|Collet
86|Drumheller 2014 Chardonnay (Columbia Valley (WA))|Aromas of vanilla, char and toast lead to light creamy stone fruit and canned-corn flavors. It provides appeal but the oak seems overweighted.|Sean P. Sullivan|@wawinereport|12||Chardonnay|Columbia Valley (WA)|Columbia Valley|Washington|US|Drumheller
86|Eco Terreno 2013 Old Vine Cabernet Sauvignon (Alexander Valley)|Big oak defines this robustly dense and extracted red, swimming in vanilla and cherry flavor. Full-bodied and gravelly in texture, it's a rustically pleasant wine for pizza nights and crowds.|Virginie Boone|@vboone|40|Old Vine|Cabernet Sauvignon|Alexander Valley|Sonoma|California|US|Eco Terreno
86|Grifalco 2013 Daginestra  (Aglianico del Vulture)|Aromas of black-skinned fruit, leather, underbrush, game and a briny note all carry over to the lean, somewhat disjointed palate along with suggestions of licorice and raw red cherry. Grainy tannins leave a drying finish.|Kerin O’Keefe|@kerinokeefe|32|Daginestra|Aglianico|Aglianico del Vulture||Southern Italy|Italy|Grifalco
86|Hindsight 2013 Bella Vetta Vineyard Cabernet Sauvignon (Howell Mountain)|Juicy plum, raspberry and pencil lead lead the way in this vineyard designate, a site that's 2,000 feet high. Tobacco and cedar meet a full-bodied hit of oak and puckering tannin, the wine still youthfully wrapped in its full-bodied boldness.|Virginie Boone|@vboone|75|Bella Vetta Vineyard|Cabernet Sauvignon|Howell Mountain|Napa|California|US|Hindsight
86|Hindsight 2012 Estate Grown Petite Sirah (Calistoga)|This is the producer's first release of this wine. Fruity aromas of plum and tart cranberry add to its overall sense of lightness and understatement.|Virginie Boone|@vboone|55|Estate Grown|Petite Sirah|Calistoga|Napa|California|US|Hindsight
86|Mulvane Wine Co. 2013 The Cypher Red (Napa Valley)|This is made from equal parts Cabernet Franc and Merlot, with small additions of Malbec. Juicy, it reveals a raisiny quality of ripeness around integrated oak and generous tannin.|Virginie Boone|@vboone|75|The Cypher|Bordeaux-style Red Blend|Napa Valley|Napa|California|US|Mulvane Wine Co.
86|Schmitt Söhne 2015 Riesling (Rheinhessen)|Earthy pollen and mineral notes lend a savory tone to this medium-sweet Riesling. It's soft and slightly pulpy, intensified by overripe tangerine and stone fruit flavors. Drink now through 2018.|Anna Lee C. Iijima||9||Riesling|||Rheinhessen|Germany|Schmitt Söhne
86|Yalumba 2016 Made With Organic Grapes Chardonnay (South Australia)|This medium-bodied Chardonnay features aromas of pineapple and roasted cashew. Similar notes of ripe pineapple and nuts mark the palate, then ease to a rather soft, easy finish. Drink now.|Joe Czerwinski|@JoeCz|18|Made With Organic Grapes|Chardonnay|South Australia||South Australia|Australia|Yalumba
86|Z'IVO 2015 Rosé of Pinot Noir (Eola-Amity Hills)|Some rosés are made simply by bleeding the juice from the fermenter, to concentrate the remaining wine. Whether or not that is the case here, the wine has the simple pleasant lightly candied strawberry flavors one might expect from such a technique. It's fruity and undemanding. Drink up.|Paul Gregutt|@paulgwine |25|Rosé of|Pinot Noir|Eola-Amity Hills|Willamette Valley|Oregon|US|Z'IVO
86|Adega Cooperativa do Cartaxo 2014 Bridão Touriga Nacional (Tejo)|Grown on the sandy soil of Tejo, the wine is typically soft and open. It is very accessible—with black fruits and light tannins for this grape. It is ready to drink.|Roger Voss|@vossroger||Bridão|Touriga Nacional|||Tejo|Portugal|Adega Cooperativa do Cartaxo
86|Aresti 2014 Special Release Reserva Carmenère (Rapel Valley)|Caramelized oak and vanilla aromas are front and center on a barrel-heavy nose. This feels a bit choppy, with astringent tannins. Herbal salty plum flavors wear a lot of oaky makeup, while this finishes with a forced woody flavor.|Michael Schachner|@wineschach|12|Special Release Reserva|Carmenère|||Rapel Valley|Chile|Aresti
86|Spyro 2014 Albariño (Rías Baixas)|Bland, mature aromas of white fruits are on the weak side for Albariño. This feels round and oily, while briny leesy flavors lack pop and precision. A grabby aged finish is short on the free flow that this grape and region are known for. Drink immediately or wait for a newer vintage.|Michael Schachner|@wineschach|16||Albariño|Rías Baixas||Galicia|Spain|Spyro
86|Lionel Osmin & Cie 2016 La Réserve Petit Manseng (Vin de France)|This fruity, sweet wine is immediately attractive and ripe. With its great apricot and pineapple fruit, hints of spicy wood and balancing acidity, it's perfect as an apéritif—light and refreshing. Drink now.|Roger Voss|@vossroger|11|La Réserve|Petit Manseng|Vin de France||France Other|France|Lionel Osmin & Cie
86|Mitolo 2016 Jester Sangiovese Rosé (McLaren Vale)|Pale copper in hue, this wine exudes passion fruit on the nose, while the palate delivers nuances of muskmelon as well. It's crisp, racy and medium in body, perfectly suited to summertime refreshment. Drink now.|Joe Czerwinski|@JoeCz|20|Jester Sangiovese|Rosé|McLaren Vale||South Australia|Australia|Mitolo
86|Napa Cellars 2014 Classic Zinfandel (Napa Valley)|A healthy addition of 13% Petite Sirah provides added weight and intensity to this wine, a soft, supple and richly conceived combination of smoky black fruit and mocha.|Virginie Boone|@vboone|24|Classic|Zinfandel|Napa Valley|Napa|California|US|Napa Cellars
86|P.J. Valckenberg 2015 Undone Dry Riesling (Rheinhessen)|Pronounced dust, pollen and earth tones lend savoriness to this otherwise citrusy wine. Racy acidity and fresh tangerine and lemon flavors turn herbal on the finish. Drink now.|Anna Lee C. Iijima||10|Undone Dry|Riesling|||Rheinhessen|Germany|P.J. Valckenberg
86|Palencia 2016 Albariño (Ancient Lakes)|Vibrant aromas of ripe pear, white flowers and melon are followed by a just off-dry palate, with lean fruit flavors.|Sean P. Sullivan|@wawinereport|20||Albariño|Ancient Lakes|Columbia Valley|Washington|US|Palencia
